Table 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctorate-granting institutions, by state or location and major science and engineering fields of study: 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or location and institution,All fields,Science,,,,,,,,,,,,,,,,,,Engineering,,,,,,,,,
,,Life sciences,,,,Physical sciences and earth sciences,,,,Mathematics and computer sciences,,,Psychology and social sciences ,,,,,,,,,,,,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Health sciences,Total,Chemistry,"Geosciences, atmospheric sciences, and ocean sciences",Physics and astronomy,Total,Computer and information sciences,Mathematics and statistics ,Total,Psychology,Anthropology,Economics,Political science and government,Sociology,Other social sciences,Total,"Aerospace, aeronautical, and astronautical",Bioengineering and biomedical,Chemical,Civil,"Electrical, electronics, and communications",Industrial and manufacturing,Materials science,Mechanical,Other engineering
All institutions,"54,664","12,592","1,606","8,477","2,509","6,081","2,697","1,165","2,219","3,843","1,987","1,856","9,079","3,960",455,"1,237",752,689,"1,986","9,843",378,"1,041",936,741,"1,900",253,958,"1,409","2,227"
Alabama,707,188,32,122,34,59,23,7,29,48,20,28,89,67,1,10,8,1,2,131,5,4,14,17,22,6,13,18,32
Alabama A&M U.,5,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama State U.,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auburn U., Auburn",284,63,24,29,10,16,6,0,10,18,6,12,39,30,0,7,2,0,0,65,2,3,11,7,12,6,2,9,13
Tuskegee U.,12,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
"U. Alabama, Birmingham",127,76,2,60,14,9,5,1,3,12,7,5,9,8,0,0,0,1,0,10,0,1,0,3,0,0,1,1,4
"U. Alabama, Huntsville",42,6,0,5,1,9,0,1,8,3,2,1,0,0,0,0,0,0,0,24,1,0,2,1,4,0,1,3,12
"U. Alabama, Tuscaloosa",199,19,0,10,9,22,12,3,7,15,5,10,31,19,1,3,6,0,2,29,2,0,1,6,6,0,6,5,3
U. South Alabama,32,9,0,9,0,2,0,2,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,52,10,4,6,0,20,2,15,3,0,0,0,17,6,2,2,0,0,7,3,0,0,0,2,0,0,0,0,1
"U. Alaska, Anchorage",3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Alaska, Fairbanks",49,10,4,6,0,20,2,15,3,0,0,0,14,3,2,2,0,0,7,3,0,0,0,2,0,0,0,0,1
Arizona,801,133,23,74,36,110,31,29,50,51,22,29,156,60,19,14,7,4,52,141,2,10,8,10,50,6,12,12,31
Arizona State U.,369,34,5,21,8,33,14,10,9,32,20,12,66,35,8,4,3,1,15,95,0,4,4,6,40,5,9,10,17
Northern Arizona U.,20,6,4,2,0,0,0,0,0,0,0,0,11,4,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
Prescott C.,11,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
U. Arizona,401,91,13,51,27,77,17,19,41,19,2,17,78,21,11,10,1,3,32,46,2,6,4,4,10,1,3,2,14
Arkansas,202,75,18,35,22,17,11,1,5,10,4,6,19,10,0,1,1,0,7,33,0,4,2,4,7,4,2,1,9
"Arkansas State U., Jonesboro",14,9,5,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
U. Arkansas for Medical Sciences,28,27,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Arkansas, Fayetteville",148,36,13,14,9,16,10,1,5,5,1,4,16,10,0,1,0,0,5,32,0,4,2,4,7,4,2,1,8
"U. Arkansas, Little Rock",12,3,0,3,0,1,1,0,0,5,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
California,"6,105","1,300",111,"1,015",174,841,367,178,296,495,267,228,"1,132",511,54,177,101,81,208,"1,151",38,166,97,57,269,10,164,153,197
"Alliant International U., Alhambra",83,0,0,0,0,0,0,0,0,0,0,0,80,78,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Azusa Pacific U.,14,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biola U.,17,0,0,0,0,0,0,0,0,0,0,0,9,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
California Institute of Integral Studies,35,1,1,0,0,0,0,0,0,0,0,0,19,15,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
California Institute of Technology,180,23,3,20,0,85,27,16,42,21,6,15,4,0,0,4,0,0,0,47,9,2,10,1,10,0,8,4,3
Chapman U.,18,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"City of Hope, Irell and Manella Graduate School of Biological Sciences",9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claremont Graduate U.,168,6,0,3,3,1,0,0,1,18,13,5,42,14,0,13,11,0,4,2,0,1,0,0,1,0,0,0,0
Claremont School of Theology,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fielding Graduate U.,108,6,4,0,2,0,0,0,0,0,0,0,67,61,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Frederick S. Pardee RAND Graduate School,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
Fuller Theological Seminary,50,0,0,0,0,0,0,0,0,0,0,0,23,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Graduate Theological Union,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Keck Graduate Institute,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Sierra U.,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loma Linda U.,41,16,0,8,8,1,0,1,0,0,0,0,23,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Palo Alto U.,62,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Diego State U., San Diego",3,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanford-Burnham Medical Research Institute, La Jolla",5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clara U.,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,4
Saybrook U.,29,5,0,0,5,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scripps Research Institute,19,8,0,8,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofia U.,8,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanford U.,758,114,11,101,2,139,42,33,64,84,34,50,60,5,7,25,8,8,7,202,10,13,14,22,57,1,25,32,28
"U. California, Berkeley",799,162,23,128,11,129,76,11,42,61,36,25,127,24,9,25,20,14,35,177,0,13,20,8,27,0,16,42,51
"U. California, Davis",505,203,45,145,13,58,25,18,15,43,17,26,74,22,4,17,9,5,17,88,4,17,7,8,17,0,10,10,15
"U. California, Irvine",403,85,2,78,5,68,41,8,19,42,24,18,83,22,9,12,10,11,19,80,4,19,3,5,17,0,10,9,13
"U. California, Los Angeles",726,179,2,136,41,73,33,15,25,67,30,37,109,29,7,13,15,11,34,130,5,29,12,5,35,0,18,20,6
"U. California, Merced",43,11,2,9,0,8,4,3,1,9,4,5,10,6,1,0,1,0,2,5,0,0,0,0,0,0,0,4,1
"U. California, Riverside",268,54,9,45,0,33,9,2,22,33,18,15,32,12,4,3,4,7,2,65,0,13,9,0,18,0,16,3,6
"U. California, San Diego",520,122,2,107,13,85,28,32,25,40,24,16,90,32,4,26,9,7,12,128,1,20,6,1,23,0,28,12,37
"U. California, San Francisco",143,94,0,75,19,10,10,0,0,0,0,0,9,0,1,0,0,8,0,26,0,26,0,0,0,0,0,0,0
"U. California, Santa Barbara",315,24,4,20,0,51,22,9,20,20,16,4,66,28,1,14,4,3,16,67,0,0,8,0,17,0,25,10,7
"U. California, Santa Cruz",166,33,3,30,0,36,12,14,10,21,17,4,33,11,3,9,3,4,3,18,0,0,0,0,6,0,2,0,10
U. of the Pacific,3,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. San Diego,36,21,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
U. San Francisco,35,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
U. Southern California,461,110,0,86,24,52,26,16,10,32,26,6,63,13,0,16,7,1,26,109,5,13,8,7,38,9,6,7,16
Colorado,"1,005",212,25,162,25,155,42,47,66,67,41,26,128,64,6,17,10,5,26,206,22,8,14,39,29,0,12,29,53
Colorado School of Mines,98,2,0,2,0,22,8,10,4,6,2,4,4,0,0,4,0,0,0,64,0,0,4,5,4,0,7,7,37
"Colorado State U., Fort Collins",223,73,18,51,4,45,19,18,8,15,8,7,24,17,0,4,0,2,1,37,0,5,5,10,6,0,0,6,5
"U. CO, Denver, Aurora, Anschutz Medical Campus",73,73,0,65,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. Colorado Boulder,392,48,6,37,5,82,13,19,50,32,21,11,54,11,6,9,10,3,15,89,22,1,5,23,15,0,2,13,8
U. Colorado Colorado Springs,30,0,0,0,0,1,0,0,1,4,4,0,2,2,0,0,0,0,0,7,0,0,0,0,2,0,3,0,2
U. Colorado Denver,27,2,1,0,1,0,0,0,0,5,4,1,4,2,0,0,0,0,2,5,0,2,0,1,1,0,0,1,0
U. Denver,94,6,0,6,0,5,2,0,3,5,2,3,23,16,0,0,0,0,7,4,0,0,0,0,1,0,0,2,1
U. Northern Colorado,68,8,0,1,7,0,0,0,0,0,0,0,17,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Connecticut,748,196,14,155,27,104,56,15,33,60,27,33,129,43,13,18,19,11,25,97,0,18,12,3,17,0,10,18,19
U. Bridgeport,10,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"U. Connecticut, Storrs",348,91,10,63,18,46,29,7,10,33,12,21,60,27,3,7,7,5,11,68,0,8,8,3,14,0,10,14,11
U. Hartford,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesleyan U.,10,3,0,3,0,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yale U.,379,102,4,89,9,57,26,8,23,16,7,9,69,16,10,11,12,6,14,27,0,10,4,0,3,0,0,4,6
Delaware,238,59,9,40,10,24,2,11,11,19,9,10,45,12,0,12,2,2,17,69,0,0,27,13,7,0,11,8,3
Delaware State U.,7,2,0,1,1,3,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. Delaware,231,57,9,39,9,21,2,11,8,17,9,8,45,12,0,12,2,2,17,69,0,0,27,13,7,0,11,8,3
District of Columbia,623,55,0,50,5,37,19,6,12,24,11,13,207,63,14,29,44,4,53,78,0,3,0,4,5,0,1,10,55
American U.,69,1,0,1,0,0,0,0,0,0,0,0,53,10,13,9,5,0,16,0,0,0,0,0,0,0,0,0,0
Catholic U. of America,81,4,0,1,3,5,0,0,5,1,1,0,13,8,0,0,4,0,1,5,0,1,0,2,0,0,0,1,1
Gallaudet U.,13,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
George Washington U.,247,19,0,18,1,9,4,1,4,17,8,9,49,16,1,9,13,1,9,69,0,2,0,2,3,0,0,8,54
Georgetown U.,108,22,0,22,0,13,10,0,3,0,0,0,38,2,0,5,15,0,16,0,0,0,0,0,0,0,0,0,0
Howard U.,105,9,0,8,1,10,5,5,0,6,2,4,48,23,0,6,7,3,9,4,0,0,0,0,2,0,1,1,0
Florida,"2,336",490,77,285,128,259,94,64,101,145,77,68,409,184,17,22,28,32,126,419,21,26,29,45,78,23,48,51,98
Barry U.,27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Embry-Riddle Aeronautical U., Daytona Beach",13,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,4,0,0,0,1,0,0,1,4
Florida A&M U.,19,15,2,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
Florida Atlantic U.,113,20,0,13,7,9,4,2,3,5,1,4,14,12,0,0,0,0,2,13,0,0,0,0,3,0,0,1,9
Florida Institute of Technology,57,4,0,4,0,8,2,4,2,12,7,5,6,6,0,0,0,0,0,19,6,0,0,1,4,0,0,2,6
Florida International U.,184,39,1,25,13,21,13,3,5,8,8,0,43,13,2,6,9,1,12,42,0,2,0,15,14,0,6,2,3
Florida State U.,363,36,3,29,4,57,15,14,28,33,12,21,68,38,0,2,3,12,13,29,1,2,6,1,7,5,4,2,1
Nova Southeastern U.,108,0,0,0,0,1,0,1,0,23,23,0,67,19,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
U. Central Florida,218,20,1,12,7,26,3,1,22,17,11,6,35,21,0,0,0,8,6,70,0,1,0,10,15,8,15,8,13
U. Florida,714,227,64,114,49,75,41,13,21,26,8,18,94,35,8,9,13,6,23,168,9,11,19,10,21,2,22,27,47
U. Miami,201,60,3,44,13,24,6,11,7,5,2,3,26,16,0,0,2,2,6,22,1,4,0,3,1,4,1,3,5
"U. South Florida, Tampa",317,69,3,43,23,37,9,15,13,16,5,11,52,20,7,5,1,3,16,44,0,6,4,5,12,3,0,5,9
U. West Florida,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,"1,492",357,40,261,56,129,72,12,45,99,64,35,216,101,6,18,14,22,55,360,46,37,35,19,80,8,25,51,59
Clark Atlanta U.,19,8,2,6,0,4,4,0,0,0,0,0,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
Emory U.,229,103,0,91,12,23,15,0,8,11,5,6,32,16,4,1,2,5,4,1,0,1,0,0,0,0,0,0,0
Georgia Institute of Technology,503,19,2,16,1,48,20,8,20,41,32,9,25,9,0,4,0,0,12,345,46,36,34,19,79,8,20,51,52
Georgia Regents U.,16,16,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia State U.,228,40,1,32,7,18,8,0,10,24,17,7,60,23,0,8,3,13,13,0,0,0,0,0,0,0,0,0,0
Kennesaw State U.,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
Mercer U.,7,7,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morehouse School of Medicine,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. Georgia,472,154,35,91,28,36,25,4,7,23,10,13,86,53,2,5,4,4,18,14,0,0,1,0,1,0,5,0,7
Hawaii,189,44,6,26,12,29,2,21,6,4,1,3,61,13,6,9,7,4,22,11,0,0,0,2,7,0,0,2,0
"U. Hawaii, Manoa",189,44,6,26,12,29,2,21,6,4,1,3,61,13,6,9,7,4,22,11,0,0,0,2,7,0,0,2,0
Idaho,103,32,12,15,5,14,2,9,3,5,3,2,15,8,0,1,0,0,6,16,0,1,0,1,4,0,5,1,4
Boise State U.,16,2,0,2,0,3,0,3,0,0,0,0,2,0,0,0,0,0,2,9,0,0,0,0,4,0,4,0,1
Idaho State U.,34,5,0,1,4,2,0,0,2,0,0,0,7,7,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3
U. Idaho,53,25,12,12,1,9,2,6,1,5,3,2,6,1,0,1,0,0,4,3,0,0,0,1,0,0,1,1,0
Illinois,"2,534",478,49,340,89,267,133,19,115,193,95,98,445,184,29,80,39,46,67,435,13,41,39,35,91,9,66,53,88
Benedictine U.,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chicago Theological Seminary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DePaul U.,9,0,0,0,0,0,0,0,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett-Evangelical Theological Seminary,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois Institute of Technology,86,3,0,3,0,10,4,0,6,11,8,3,12,11,0,0,0,0,1,36,4,2,5,4,11,0,3,2,5
Illinois State U.,34,6,0,2,4,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Institute for Clinical Social Work, Chicago",8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loyola U., Chicago",99,23,1,17,5,2,2,0,0,0,0,0,26,19,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0
"Lutheran School of Theology, Chicago",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Louis U.,12,4,0,4,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Illinois U.,99,11,0,11,0,11,5,2,4,5,0,5,37,25,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0
Northwestern U.,441,66,0,61,5,60,34,2,24,30,15,15,71,22,6,14,11,13,5,127,0,18,16,1,13,5,37,13,24
Roosevelt U.,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosalind Franklin U. of Medicine and Science,16,3,0,3,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rush U.,12,12,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southern Illinois U., Carbondale",174,30,11,17,2,11,4,1,6,9,4,5,27,11,3,7,2,1,3,19,0,0,0,0,6,1,0,2,10
"Toyota Technological Institute, Chicago",2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. Chicago,387,83,0,79,4,51,21,5,25,27,7,20,91,11,14,29,11,14,12,5,0,0,2,0,0,0,2,0,1
"U. Illinois, Chicago",325,91,0,56,35,23,16,3,4,33,16,17,56,19,2,7,2,6,20,39,0,10,3,9,4,2,0,7,4
"U. Illinois, Urbana-Champaign",782,146,37,82,27,99,47,6,46,74,41,33,94,37,4,18,4,9,22,209,9,11,13,21,57,1,24,29,44
"Wheaton C., Wheaton",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,"1,572",309,60,204,45,195,115,15,65,119,75,44,221,82,14,22,28,29,46,329,38,17,31,32,56,9,15,57,74
Ball State U.,36,4,1,1,2,0,0,0,0,0,0,0,16,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Indiana State U.,70,3,1,2,0,0,0,0,0,3,3,0,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Indiana U., Bloomington",402,69,6,44,19,47,25,6,16,36,23,13,92,28,12,10,5,12,25,0,0,0,0,0,0,0,0,0,0
"Indiana U.-Purdue U., Indianapolis",87,67,1,56,10,1,0,1,0,5,5,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
"Purdue U., West Lafayette",739,145,51,80,14,97,60,8,29,55,33,22,64,21,2,8,9,10,14,275,29,14,18,26,43,9,15,54,67
U. Notre Dame,238,21,0,21,0,50,30,0,20,20,11,9,39,15,0,2,14,7,1,53,9,3,13,5,13,0,0,3,7
Iowa,715,150,31,90,29,79,45,10,24,72,19,53,82,44,2,14,4,5,13,152,10,14,8,14,27,7,6,30,36
Iowa State U.,350,74,28,41,5,39,22,3,14,38,13,25,33,17,0,9,0,4,3,100,10,1,6,11,18,5,5,18,26
Maharishi U. of Management,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Ambrose U.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. Iowa,347,72,2,48,22,40,23,7,10,34,6,28,49,27,2,5,4,1,10,52,0,13,2,3,9,2,1,12,10
