Table 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Northern Iowa,13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,530,148,42,75,31,44,33,3,8,23,12,11,111,53,5,9,9,7,28,74,3,6,10,11,13,13,1,8,9
Kansas State U.,179,69,41,24,4,15,11,0,4,7,4,3,27,12,0,0,1,3,11,29,0,0,7,4,3,3,1,3,8
U. Kansas,310,77,1,50,26,26,19,3,4,7,3,4,74,31,5,9,8,4,17,28,2,6,3,7,6,0,0,3,1
Wichita State U.,41,2,0,1,1,3,3,0,0,9,5,4,10,10,0,0,0,0,0,17,1,0,0,0,4,10,0,2,0
Kentucky,497,138,15,82,41,22,13,1,8,35,12,23,75,34,3,5,1,8,24,48,0,2,10,9,9,3,6,3,6
Asbury Theological Seminary,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Southern Baptist Theological Seminary,36,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. Kentucky,305,91,14,46,31,19,11,1,7,30,9,21,39,15,3,5,1,3,12,27,0,1,6,6,4,0,5,2,3
U. Louisville,146,47,1,36,10,3,2,0,1,5,3,2,31,18,0,0,0,5,8,21,0,1,4,3,5,3,1,1,3
Louisiana,607,157,27,98,32,68,41,12,15,48,21,27,90,43,6,7,5,6,23,74,0,5,7,6,5,0,4,7,40
Grambling State U.,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Louisiana State U., Baton Rouge",296,59,21,28,10,48,26,9,13,22,8,14,33,13,1,4,5,4,6,42,0,0,4,4,5,0,0,6,23
"Louisiana State U., Health Sciences Center, New Orleans",19,19,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Louisiana State U., Health Sciences Center, Shreveport",7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana Tech U.,44,3,0,3,0,1,1,0,0,7,5,2,13,13,0,0,0,0,0,15,0,4,0,1,0,0,4,1,5
New Orleans Baptist Theological Seminary,13,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southern U. and A&M C., Baton Rouge",8,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulane U.,107,40,2,31,7,9,6,1,2,8,0,8,21,4,5,2,0,2,8,3,0,1,2,0,0,0,0,0,0
"U. Louisiana, Lafayette",44,10,0,7,3,2,0,2,0,9,6,3,3,1,0,0,0,0,2,10,0,0,1,0,0,0,0,0,9
"U. Louisiana, Monroe",18,12,0,3,9,1,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. New Orleans,42,2,0,2,0,7,7,0,0,2,2,0,12,4,0,1,0,0,7,4,0,0,0,1,0,0,0,0,3
Maine,56,15,4,11,0,11,0,9,2,1,1,0,9,6,1,1,0,0,1,11,0,1,1,0,2,0,1,3,3
U. Maine,55,15,4,11,0,11,0,9,2,1,1,0,8,6,1,1,0,0,0,11,0,1,1,0,2,0,1,3,3
U. Southern Maine,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maryland,"1,295",439,32,279,128,141,40,34,67,118,78,40,205,74,9,27,22,10,63,225,7,49,13,19,47,0,20,35,35
Bowie State U.,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johns Hopkins U.,495,244,12,161,71,49,19,10,20,25,16,9,43,6,6,11,9,1,10,95,0,39,7,6,13,0,12,8,10
"Loyola U., Maryland",7,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan State U.,30,10,0,0,10,1,0,0,1,0,0,0,4,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1
Notre Dame of Maryland U.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Towson U.,17,2,0,0,2,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Maryland, Baltimore",88,80,0,51,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Maryland, Baltimore County",88,8,0,8,0,9,4,2,3,35,21,14,19,13,0,0,0,0,6,16,0,0,1,0,4,0,0,4,7
"U. Maryland, College Park",528,82,17,52,13,81,17,21,43,42,25,17,120,32,3,16,13,9,47,112,7,10,5,12,30,0,8,23,17
"U. Maryland, Eastern Shore",13,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uniformed Services U. of the Health Sciences,23,8,0,6,2,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,"2,879",706,57,510,139,372,126,78,168,177,98,79,474,124,15,112,58,31,134,597,20,74,53,16,85,7,54,102,186
Bentley U.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston C.,120,15,1,9,5,12,9,0,3,2,0,2,33,12,0,8,9,2,2,0,0,0,0,0,0,0,0,0,0
Boston U.,345,130,2,91,37,32,9,3,20,16,11,5,52,19,1,14,6,3,9,51,0,12,0,0,12,0,3,14,10
Brandeis U.,86,19,0,18,1,13,6,0,7,7,2,5,28,7,0,4,3,0,14,0,0,0,0,0,0,0,0,0,0
Clark U.,31,2,0,2,0,1,0,0,1,0,0,0,21,5,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0
Harvard U.,683,211,2,170,39,107,32,15,60,29,11,18,120,19,9,31,21,13,27,23,0,6,0,0,2,0,3,1,11
Massachusetts C. of Pharmacy and Health Sciences,7,2,0,2,0,1,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts Institute of Technology,621,77,17,55,5,111,30,48,33,50,29,21,62,3,3,25,13,0,18,291,20,33,26,1,26,0,33,55,97
New England Conservatory,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeastern U.,226,30,2,18,10,27,16,1,10,18,10,8,44,12,0,8,2,9,13,93,0,8,10,4,26,4,5,16,20
Simmons C.,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith C.,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield C.,7,3,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suffolk U.,7,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tufts U., Medford",138,58,3,53,2,16,6,2,8,11,4,7,26,13,0,1,0,1,11,17,0,3,4,2,0,0,1,3,4
"U. Massachusetts, Amherst",307,67,24,29,14,32,12,3,17,22,14,8,47,15,2,11,4,1,14,52,0,0,6,6,8,3,1,7,21
"U. Massachusetts, Boston",53,14,6,4,4,2,1,1,0,7,7,0,22,7,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0
"U. Massachusetts, Dartmouth",33,7,0,2,5,5,0,5,0,0,0,0,2,0,0,0,0,0,2,8,0,2,0,0,1,0,0,1,4
"U. Massachusetts, Lowell",73,18,0,7,11,12,4,0,8,4,4,0,0,0,0,0,0,0,0,31,0,7,3,0,2,0,1,3,15
"U. Massachusetts, Medical School",55,52,0,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Western New England U.,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worcester Polytechnic Institute,46,1,0,1,0,1,0,0,1,11,6,5,1,0,0,1,0,0,0,30,0,2,4,3,8,0,7,2,4
Michigan,"1,906",385,51,257,77,206,98,25,83,118,51,67,345,152,24,62,27,28,52,394,17,28,32,22,90,9,35,75,86
Andrews U.,24,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Theological Seminary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Michigan U.,22,0,0,0,0,0,0,0,0,3,0,3,16,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Eastern Michigan U.,53,0,0,0,0,0,0,0,0,1,1,0,13,12,0,0,0,0,1,5,0,0,0,0,0,0,0,0,5
Michigan State U.,515,128,35,73,20,57,33,5,19,31,16,15,101,26,11,20,6,10,28,60,0,3,7,3,23,0,1,16,7
Michigan Technological U.,88,13,4,8,1,10,1,6,3,6,3,3,1,1,0,0,0,0,0,52,0,4,3,5,7,0,10,12,11
Oakland U.,38,7,0,4,3,1,1,0,0,8,1,7,2,2,0,0,0,0,0,10,0,0,0,0,4,1,0,5,0
U. Detroit Mercy,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Michigan, Ann Arbor",777,167,11,122,34,97,41,12,44,46,19,27,107,26,10,28,16,8,19,223,17,15,19,9,48,5,21,34,55
"U. Michigan, Dearborn",8,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,1,2
Van Andel Institute,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne State U.,249,60,0,44,16,30,16,0,14,13,6,7,53,31,3,6,2,7,4,28,0,6,3,4,4,2,1,4,4
Western Michigan U.,120,6,1,2,3,11,6,2,3,7,2,5,41,27,0,8,3,3,0,10,0,0,0,1,3,1,0,3,2
Minnesota,"1,374",397,50,145,202,66,38,12,16,53,31,22,362,214,5,23,11,3,106,128,11,19,23,8,30,1,7,21,8
"Mayo Clinic, Mayo Graduate School",36,32,0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0
"U. Minnesota, Twin Cities",678,179,36,102,41,66,38,12,16,51,29,22,102,44,5,23,9,3,18,121,11,17,23,8,29,1,7,21,4
Walden U.,660,186,14,15,157,0,0,0,0,2,2,0,260,170,0,0,2,0,88,4,0,0,0,0,0,0,0,0,4
Mississippi,460,107,27,41,39,48,32,8,8,20,8,12,76,49,0,4,3,2,18,51,2,2,3,8,5,4,5,6,16
Jackson State U.,75,3,3,0,0,9,9,0,0,0,0,0,16,8,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0
Mississippi State U.,173,46,24,17,5,18,9,5,4,8,5,3,15,6,0,0,0,2,7,41,2,2,2,5,5,4,5,6,10
"U. Mississippi, Jackson, Medical Center",21,21,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Mississippi, Oxford",78,16,0,4,12,8,3,1,4,8,2,6,14,12,0,0,2,0,0,7,0,0,1,3,0,0,0,0,3
U. Southern Mississippi,113,21,0,15,6,13,11,2,0,4,1,3,31,23,0,2,1,0,5,3,0,0,0,0,0,0,0,0,3
Missouri,"1,022",259,34,190,35,108,49,28,31,55,24,31,152,69,16,25,19,8,15,171,4,26,9,16,26,2,9,29,50
Concordia Seminary,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midwestern Baptist Theological Seminary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri U. of Science and Technology,119,1,0,1,0,29,11,12,6,14,6,8,0,0,0,0,0,0,0,75,3,0,3,8,13,0,4,16,28
Saint Louis U.,158,29,3,19,7,9,2,7,0,1,0,1,32,23,0,0,0,0,9,7,1,1,0,3,0,0,0,0,2
"U. Missouri, Columbia",345,95,30,52,13,29,17,6,6,25,11,14,52,25,3,7,7,8,2,45,0,5,1,4,9,2,1,9,14
"U. Missouri, Kansas City",62,16,0,8,8,2,1,0,1,3,1,2,17,8,0,8,0,0,1,5,0,0,0,1,2,0,0,1,1
"U. Missouri, Saint Louis",58,11,0,10,1,6,5,0,1,2,0,2,14,7,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0
"Washington U., Saint Louis",272,107,1,100,6,33,13,3,17,10,6,4,37,6,13,10,8,0,0,39,0,20,5,0,2,0,4,3,5
Montana,119,36,9,27,0,15,7,2,6,11,6,5,14,11,1,0,0,0,2,9,0,2,0,0,2,0,1,1,3
"Montana State U., Bozeman",66,12,3,9,0,13,5,2,6,10,6,4,3,1,0,0,0,0,2,8,0,1,0,0,2,0,1,1,3
"U. Montana, Missoula",53,24,6,18,0,2,2,0,0,1,0,1,11,10,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Nebraska,363,143,36,80,27,32,19,6,7,27,10,17,46,30,0,1,4,6,5,44,0,6,2,4,8,0,4,12,8
Creighton U.,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Nebraska, Lincoln",267,67,36,28,3,30,17,6,7,22,5,17,37,24,0,1,4,6,2,44,0,6,2,4,8,0,4,12,8
"U. Nebraska, Medical Center",70,66,0,42,24,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. Nebraska Omaha,19,3,0,3,0,0,0,0,0,5,5,0,7,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Nevada,200,21,4,11,6,20,11,4,5,11,7,4,44,22,6,2,3,4,7,34,0,1,4,6,3,0,4,6,10
"U. Nevada, Las Vegas",99,5,0,1,4,5,4,1,0,5,1,4,22,8,4,0,2,4,4,13,0,0,0,4,2,0,0,4,3
"U. Nevada, Reno",101,16,4,10,2,15,7,3,5,6,6,0,22,14,2,2,1,0,3,21,0,1,4,2,1,0,4,2,7
New Hampshire,158,60,9,50,1,32,11,5,16,10,1,9,17,9,1,4,0,2,1,17,0,2,1,2,1,0,3,2,6
"Antioch U., Keene",8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dartmouth C.,83,47,0,47,0,13,2,3,8,4,1,3,8,6,1,0,0,0,1,11,0,2,1,0,1,0,3,0,4
Southern New Hampshire U.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. New Hampshire, Durham",63,7,3,3,1,19,9,2,8,6,0,6,9,3,0,4,0,2,0,6,0,0,0,2,0,0,0,2,2
New Jersey,"1,115",209,26,160,23,145,62,28,55,100,52,48,179,53,7,28,24,16,51,194,3,24,19,11,39,8,13,32,45
Drew U.,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fairleigh Dickinson U., Teaneck",15,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montclair State U.,15,4,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey Institute of Technology,59,5,2,3,0,2,1,0,1,17,10,7,2,0,0,0,0,0,2,33,0,8,3,1,8,3,1,3,6
Princeton Theological Seminary,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Princeton U.,359,44,1,43,0,76,23,14,39,29,15,14,65,7,2,21,16,12,7,57,3,0,13,4,11,0,0,13,13
Rowan U.,6,5,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutgers School of Biomedical and Health Sciences,45,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"Rutgers, State U. New Jersey, Camden",4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rutgers, State U. New Jersey, New Brunswick",396,71,16,50,5,48,23,12,13,37,17,20,59,14,5,6,8,3,23,69,0,11,2,5,14,5,9,11,12
"Rutgers, State U. New Jersey, Newark",94,15,3,9,3,6,4,2,0,4,2,2,28,8,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0
Seton Hall U.,46,20,0,5,15,8,8,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevens Institute of Technology,58,2,0,2,0,4,2,0,2,12,8,4,0,0,0,0,0,0,0,33,0,3,1,1,6,0,3,5,14
New Mexico,299,45,6,31,8,44,9,11,24,21,12,9,43,22,4,1,2,0,14,74,0,2,10,5,16,5,7,5,24
New Mexico Institute of Mining and Technology,13,0,0,0,0,6,0,4,2,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,1
"New Mexico State U., Las Cruces",95,12,4,7,1,13,2,2,9,6,4,2,6,6,0,0,0,0,0,27,0,0,5,2,5,5,1,4,5
"U. New Mexico, Albuquerque",191,33,2,24,7,25,7,5,13,13,7,6,37,16,4,1,2,0,14,42,0,2,5,3,11,0,2,1,18
New York,"4,064",859,68,677,114,411,164,63,184,302,151,151,835,359,64,124,91,88,109,567,14,81,68,35,112,12,57,74,114
Adelphi U.,26,5,0,0,5,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany Medical C.,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfred U.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
Clarkson U.,32,2,0,2,0,11,7,1,3,3,1,2,0,0,0,0,0,0,0,16,0,0,8,1,0,0,2,3,2
Cold Spring Harbor Laboratory,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia U. in the City of New York,481,116,2,95,19,57,18,6,33,39,19,20,69,11,9,20,14,9,6,87,1,15,10,8,25,1,1,8,18
"Columbia U., Teachers C.",192,18,0,6,12,0,0,0,0,0,0,0,40,28,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0
Cornell U.,496,133,44,88,1,60,18,11,31,46,25,21,81,10,2,27,14,13,15,107,3,20,17,7,16,0,10,15,19
"Cornell U., Graduate School of Medical Sciences",54,49,0,49,0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUNY, City C.",30,1,0,1,0,4,0,4,0,2,2,0,0,0,0,0,0,0,0,23,0,6,7,5,3,0,0,2,0
"CUNY, Graduate Center",419,46,4,26,16,30,13,4,13,24,6,18,151,72,13,5,19,11,31,4,0,1,0,0,0,0,2,0,1
Fordham U.,112,5,0,5,0,0,0,0,0,0,0,0,47,36,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0
Hofstra U.,19,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icahn School of Medicine at Mt. Sinai,43,43,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewish Theological Seminary of America,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Long Island U., Brooklyn",18,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Long Island U., Brookville",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New School,47,0,0,0,0,0,0,0,0,0,0,0,36,10,6,7,4,7,2,0,0,0,0,0,0,0,0,0,0
New York Medical C.,6,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York U.,435,81,6,60,15,31,14,3,14,42,18,24,81,24,8,16,9,9,15,37,0,2,3,6,13,0,1,5,7
Pace U.,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rensselaer Polytechnic Institute, Troy",122,9,0,8,1,14,7,0,7,20,11,9,5,2,1,1,0,1,0,60,3,5,12,0,8,0,9,11,12
Rochester Institute of Technology,25,9,0,9,0,3,0,0,3,7,5,2,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,4
Rockefeller U.,23,20,0,20,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St. John's U., Queens",41,15,0,8,7,1,1,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syracuse U.,217,8,1,6,1,29,14,6,9,10,8,2,44,13,5,8,7,4,7,47,2,6,4,5,12,0,0,5,13
"SUNY, Binghamton U.",130,11,1,8,2,16,7,2,7,7,6,1,30,14,1,3,5,6,1,35,0,4,0,0,5,7,9,6,4
"SUNY, C. of Environmental Science and Forestry",20,10,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,7
"SUNY, C. of Optometry",2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUNY, Downstate Medical Center",13,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"SUNY, Stony Brook U.",264,39,0,39,0,65,27,15,23,47,15,32,33,13,2,7,3,6,2,39,0,11,1,0,6,0,13,6,2
"SUNY, U. Albany",165,20,0,16,4,10,4,5,1,14,10,4,57,16,3,9,7,14,8,15,0,3,0,0,0,0,5,0,7
"SUNY, U. Buffalo",341,79,0,60,19,26,14,2,10,25,19,6,63,23,8,4,4,7,17,55,5,4,4,3,12,4,0,9,14
"SUNY, Upstate Medical U.",13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Theological Seminary,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. Rochester,201,60,1,51,8,46,13,4,29,13,4,9,23,12,0,6,5,0,0,25,0,3,1,0,10,0,4,4,3
Yeshiva U.,46,32,0,32,0,0,0,0,0,1,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
